slug,bandcamp_url,actual_track_count,status
gulag-demo,https://gulag.bandcamp.com/album/demo,5,updated
hierofante-purpura-boas-bestas-ep,https://hierofantepurpura.bandcamp.com/album/boas-bestas-ep-2015,4,updated
humbra-tratados-do-amor-proprio-2015,https://bandahumbra.bandcamp.com/album/tratados-do-amor-pr-prio-flowed-fuzz,9,updated
ajaxfree-human-scum-2022,https://ajaxfree.bandcamp.com/album/human-scum,,failed
in-atmosphere-grey-2015,https://inatmosphere.bandcamp.com/album/grey-2,5,updated
clan-dos-mortos-cicatriz---clan-dos-mortos-cicatriz--senil-,https://clandosmortoscicatriz.bandcamp.com/album/clan-dos-mortos-cicatriz-senil,8,updated
in-sone-uturo-2015,https://quintavant.bandcamp.com/album/qtv-015-uturo,,failed
falador---cr-nicas-do-sub-rbio---original-soundtrack,https://falador.bandcamp.com/album/cr-nicas-do-sub-rbio-original-soundtrack,4,updated
gringos-da-semana-mais-um-passeio-pelo,https://hostilemind.bandcamp.com/album/lime,,failed
isso-isso-ep-2015,https://issorock.bandcamp.com/album/isso,6,updated
gringos-da-semana-uma-viagem-pelo-mundo,https://tvivler.bandcamp.com/album/kilogram,9,updated
gueersh-fogo-amigo-2022,https://feitio.bandcamp.com/album/fogo-amigo,4,updated
jonathan-tadeu-casa-vazia-2015,https://jonathantadeu.bandcamp.com/album/casa-vazia,10,updated
josephines-josephines,https://josephines.bandcamp.com/album/josephines,9,updated
juliano-gauche-juliano-gauche-2015,https://julianogauche.bandcamp.com/album/juliano-gauche,9,updated
kastelijns-raposa-2015,https://lalonge.bandcamp.com/album/raposa,10,updated
king-void-ep-2015,https://kingvoid.bandcamp.com/album/king-void-ep,4,updated
lombraless---lonely-me---split-ep--feat--lonely-me-,https://lombraless.bandcamp.com/album/split-ep-feat-lonely-me,4,updated
krokodil-krokodil-2015,https://yoyodynerecords.bandcamp.com/album/krokodil-krokodil,9,updated
luiza-brina-toada-vem-e-pelo-vento,https://luizabrina.bandcamp.com/album/a-toada-vem-pelo-vento,8,updated
letters-from---live-letters-from-the-fuzz,https://lettersfrom.bandcamp.com/album/live-letters-from-the-fuzz-2,4,updated
lillian-lessa-expresso-ep-2015,https://lillianlessa.bandcamp.com/album/expresso-ep,6,updated
lindberg-hotel-cotton-chains-2015,https://lindberghotel.bandcamp.com/album/cotton-chains,5,updated
lingering-last-drops---walk--don-t-run--live-23---08---2009-,https://lingeringlastdrops.bandcamp.com/album/walk-don-t-run-live-23-08-2009,1,updated
peterson-ruiz-ziur-ziurmuzik---le-osiac-experien-e,https://petersonruiz.bandcamp.com/album/le-osiac-experien-e,13,updated
lo-fi-ultra-cosmic-blues-2015,https://lofipunkrock.bandcamp.com/album/ultra-cosmic-blues,10,updated
prefeitura-do-rio-21-2022,https://prefeiturarj.bandcamp.com/album/2-1,,failed
lo-fight-treta-2015,https://lofightpunx.bandcamp.com/album/treta,4,updated
separable---torpor,https://separable.bandcamp.com/album/torpor,3,updated
lou-dog-sublime-death-of-lou-dog-2015,https://iloveloudog.bandcamp.com/album/the-sublime-death-of-lou-dog,4,updated
luneta-magica-no-meu-peito-2015,https://lunetamagica.bandcamp.com/album/no-meu-peito,11,updated
suave---devir-arcano,https://suave.bandcamp.com/album/devir-arcano,7,updated
magic-crayon-waking-life-dreaming,https://ob-w.bandcamp.com/album/waking-life-dreaming,5,updated
uana---vidro-fum-,https://hominiscanidae.bandcamp.com/track/vidro-fum,,updated
wagner-almeida---eu-enterrei-uma-semente-aqui,https://wagneralmeida.bandcamp.com/album/eu-enterrei-uma-semente-aqui,4,updated
malafaia-all-over-you-2015,https://malafaia.bandcamp.com/album/all-over-you,6,updated
mamute-mamute-demo,https://mamutebanda.bandcamp.com/album/mamute-demo-2014,4,updated
microndas-segundo,https://transfusaonoiserecords.bandcamp.com/album/segundo,11,updated
mocho-diablo-monochrome-2015,https://mochodiablo.bandcamp.com/album/monochrome,7,updated
blackcatgang---oreo-s-adventure-in-the-wild,https://blackcatgang.bandcamp.com/album/oreos-adventure-in-the-wild,3,updated
blackcatgang---the-black-and-white-gang,https://blackcatgang.bandcamp.com/album/the-black-and-white-gang,3,updated
mos---novas-desculpas-para-novos-interesses,https://mosmusica.bandcamp.com/album/novas-desculpas-para-novos-interesses,4,updated
boletos-antiaderentes---p-um-jovem-de-brilhante-futuro,https://boletosantiaderentes.bandcamp.com/album/p-um-jovem-de-brilhante-futuro,4,updated
moses-moses-2015,https://moses.bandcamp.com/album/moses,20,updated
brasileiro-garantido---minipizzas,https://brasileirogarantido.bandcamp.com/album/minipizzas,5,updated
motor-city-madness-dead-city-riot-2015,https://motorcitymadness.bandcamp.com/album/dead-city-riot,11,updated
dario-julio---os-franciscanos---su-te-bipolar-em-d--maior,https://dariojulio.bandcamp.com/album/su-te-bipolar-em-d-maior,6,updated
muhammad-ateu-rasta-la-vista-ep,https://muhammadateu.bandcamp.com/album/rasta-la-vista,3,updated
dia-cinza---dia-cinza,https://diacinza.bandcamp.com/album/dia-cinza,2,updated
musicfuneral---vol-1,https://selomalware.bandcamp.com/album/vol-1,17,updated
djsedj---sensezera,https://anonmera.bandcamp.com/album/sensezera,34,updated
nargis-mazy-bloom-2015,https://nargis.bandcamp.com/album/mazy-bloom,8,updated
noccwan---way,https://suburbanaco.bandcamp.com/album/way,7,updated
nosso-querido-figueiredo---introspective-summer,https://nossoquerido.bandcamp.com/album/introspective-summer,8,updated
notadeum-nenhum-valor-2015,https://notadeum.bandcamp.com/album/nenhum-valor,7,updated
jadsa-olho-de-vidro,https://balaclavarecords.bandcamp.com/album/olho-de-vidro,14,updated
novampb-too-cool-for-words,https://transtorninhorecords.bandcamp.com/album/too-cool-for-words,8,updated
nuvem-dia-chuvoso-violeta-2015,https://nuvem157.bandcamp.com/album/dia-chuvoso-violeta,2,updated
kalouv-medida-da-distancia-2021,https://kalouv.bandcamp.com/album/a-medida-da-dist-ncia,5,updated
nuvem-leopardo-revolver-mercurio-2015,https://nuvemleopardo.bandcamp.com/album/revolver-mercurio,6,updated
o-no-ep1-2015,https://onorock.bandcamp.com/album/ep1,5,updated
lombraless---lasqueira-vibes,https://lombraless.bandcamp.com/album/lasqueira-vibes,5,updated
o-quinto-sobre-velhos-pensamentos-2015,https://oquinto.bandcamp.com/album/sobre-velhos-pensamentos-2015,6,updated
m0rpheens---feeling---beat-tape,https://m0rpheens.bandcamp.com/album/feeling-beat-tape,5,updated
mangustan---o-tri-ngulo-dos-instrumentos-perdidos,https://garfo.bandcamp.com/album/o-tri-ngulo-dos-instrumentos-perdidos,11,updated
ocean-breeze-tropical-club---life-is-better-when-you-re-high,https://oceanbreezetropicalclub.bandcamp.com/album/life-is-better-when-youre-high,8,updated
odradek-homunculo-vol-3-2015,https://odradekbr.bandcamp.com/album/hom-nculo-vol-3,3,updated
